input_es,input_en,icd10pcs_code,icd10pcs_term
PROSSTATEECTOMIA RADICAAL,RADICAL PROSTATEECTOMY,,
CIRUGIADE TABIQUE,SEPTOP SURGERY,G9643,Elective surgery
BX GANGLIO CERVICAL,BX CERVICAL GANGLION,C1830,Power bone marrow bx needle
FACO /LIO/VITRECTOMIA,PHACO/IOL/VITRECTOMY,,
CICRCUNSICION,CIRCUNSITION,,
OSTEOSISNTESI DE CODO,ELBOW OSTEOSISNTESI,L6250,Elbow inter loc elbow forarm
OTS FEMUR TIBIA Y PERONE,OTS FEMUR TIBIA AND PERONE,,
RESECCION TUMOR PARAMENINGEO,PARAMENINGEAL TUMOR RESECTION,,
OSTEOSÍNTESIS DE RADIO IZQUIERDO,LEFT RADIUS OSTEOSYNTHESIS,G8395,Lvef>=40% doc normal or mild
"CIRUGIAS PLASTICAS. MAMOPLASTIA, LIPOESCULTURA","PLASTIC SURGERIES. MAMMOPLASTY, LIPOSCULPTURE",,
OSTEOTOMIA DE RODILLA,KNEE OSTEOTOMY,L2182,Drop lock knee
LAPARPSCOPIA,LAPARPSCOPY,,
CATÉTER DOBLE J 11 OCASIONES.,DOUBLE J CATHETER 11 OCCASIONS.,,
EXTRACCION CATARATA MAS LENTE,CATARACT EXTRACTION PLUS LENS,,
ARTRODESIS CERVICAL,CERVICAL ARTHRODESIS,A4261,Cervical cap contraceptive
LIBERACION TUNEL DEL CARPO # 2,CARPAL TUNNEL RELEASE #2,,
MANGUITO ROTADOL,ROTADOL CUFF,A4663,Dialysis blood pressure cuff
VARICOCELE - HERNIORRAFIA UMBILICAL,VARICOCELE - UMBILICAL HERNIORRHAPHY,,
ARTROSCOPIA RODILLA IZQUEIRDA,LEFT KNEE ARTHROSCOPY,G9502,Med reas no perf foot exam
MASTECTOMIA IZDA VACIAMIENTO RECNSTRUCCION,LEFT MASTECTOMY EMPTYING RECONSTRUCTION,,
CIRUGIA DE HOMBRO,SHOULDER SURGERY,L5699,Shoulder harness
CACLCULO RENAL,KIDNEY CALCULATION,E1632,Wearable artificial kidney
OTS FEMUR Y CALCANEO,OTS FEMUR AND CALCANEUS,,
LAPAROSCOPIA GINECOLOGICA- SALPINGECTOMIA BILATERAL + APENDICECTOMIA,GYNECOLOGICAL LAPAROSCOPY- BILATERAL SALPINGECTOMY + APPENDICECTOMY,,
LIPOSUCCIOON,LIPOSUCTION,,
CIRUGIA DE OFTALMOLOGIA POR ESTALLIDO OCULAR DERECHO,OPHTHALMOLOGY SURGERY FOR RIGHT EYE BURST,,
CX ALOINJERTO MAS PLACA,CX ALLOGRAFT PLUS PLATE,,
CIRUGIA DLE PIE,FOOT SURGERY,L5970,Foot external keel sach foot
ARTROSOCPIA DE RROILLA,KNEE ARTHROSOCPIY,L2182,Drop lock knee
TUNEL DEL CAROPO DERECHO,RIGHT AIR TUNNEL,C1605,"Pmkr, dual, leadless"
CESAREAS (2),CAESAREAS (2),,
TRANSPOSICION NERVIO CUBITAL DER,RIGHT CUBITAL NERVE TRANSPOSITION,,
CISTSOCOPIA,CYSTSCOCOPY,,
LAVADO DESBRIDAMIENTO TEJ BLANDOS DE MSD,MSD SOFT TISSUE DEBRIDEMENT WASHING,,
CIRUGIA MENISCAL RODILLA IZQUIERDA,LEFT KNEE MENISCAL SURGERY,,
LUXACION DE CLAVICULA,CLAVICLE DISLOCATION,G0413,Pelvic ring fracture uni/bil
"MULTIPLES CIRUGIAS, DE RETIRO DE MATERIAL Y COLOCACION INJERTO OSEO","MULTIPLE SURGERIES, MATERIAL REMOVAL AND BONE GRAFT PLACEMENT",,
CIRUGIA ENDOSCOPÍCA NASAL,NASAL ENDOSCOPIC SURGERY,S2342,Nasal endoscop po debrid
RESECCION SEMINOMA,SEMINOMA RESECTION,G9613,Doc post surg anatomy
LO REFERIDO EN LA ENF. ACTUAL,WHAT IS REFERRED TO IN THE ENF. CURRENT,,
RINOPLASTIA # 3,RHINOPLASTY #3,,
RA MAS OTS FX DE BRAZO DERECHO,RIGHT ARM RA MAS OTS FX,,
CPER (CINCO),CPER (FIVE),A6450,"Lt compres band >=5""/yd"
ENUCLEACIÓN OJO DER,RIGHT EYE ENUCLEATION,C1605,"Pmkr, dual, leadless"
CX CADERA - LUXACIN CADERA,CX HIP - HIP DISLOCATION,,
MAMOPLATIA AUMENTO,MAMMOLPLATIA INCREASE,G0239,"Oth resp proc, group"
CIRUGIA DE SNP,SNP SURGERY,G2081,Pt 66+ snp or ltc pos > 90d
AIMGDALECTOMIA,AIMGDALECTOMY,,
OST DE CLAVICULA,CLAVICLE OST,A4422,Ost pouch absorbent material
CX OVARIO,CX OVARY,G9424,Site no lung or lung cx
"IMPLANTE DE HUESO MAXILAR IZQ , EXTRACCION CORDAL","LEFT MAXILLARY BONE IMPLANT, CHORDAL EXTRACTION",,
"H INGUINAL IZQ , CX TESTICULO , LABIO LEPORINO","LEFT INGUINAL H, CX TESTICLE, CLEFT LIP",,
COLOCACION DE CATETER DOBLE J,DOUBLE J CATHETER PLACEMENT,,
QX DE OFTALMO Y MAXILO,OPHTHALMO AND MAXILLO QX,,
HERNIORRAFIA UMBILICAL +ABDOMINOPLASTIA + PLICATURA RECTOS ABD,UMBILICAL HERNIORRHAPHY +ABDOMINOPLASTY + ABD STRAIGHT PLICATION,,
RESECCION TUMORES PIEL,SKIN TUMORS RESECTION,G9429,Doc med rsn no pt cat
EXTRACCION CATARATA MAS LIO,CATARACT EXTRACTION PLUS IOL,,
RESECCION DE RECTO,RECTAL RESECTION,A4337,Incontinent rectal insert
LIBERACION N OBTURADOR DERECHO,RELEASE N SHUTTER RIGHT,,
CIRUGIA REFRACTIVA,REFRACTIVE SURGERY,S0596,Phakic iol refractive error
HERNIORRAFIA INGUINAL BILATERAL CON  COLOCACIÓN DE MALLA,BILATERAL INGUINAL HERNIORRHAPHY WITH MESH PLACEMENT,,
CIRUGIA NASAL,NASAL SURGERY,S2342,Nasal endoscop po debrid
FX CODO,ELBOW FX,L6250,Elbow inter loc elbow forarm
ABDOMINOPPLASTIA,ABDOMINOPLASTY,,
ENDOSCOPOIA,ENDOSCOPY,C9779,Esd endoscopy or colonoscopy
CX PROSTATA,CX PROSTATE,G9424,Site no lung or lung cx
STENT CORONARIO,CORONARY STENT,S1091,Stent non-coronary propel
RESECCION OSTEOMA TIBIA,TIBIA OSTEOMA RESECTION,C8003,Imp extar knee shck absrb
OSTEOSINTESIS PIE DERECHO,RIGHT FOOT OSTEOSYNTHESIS,G9502,Med reas no perf foot exam
CIRUGIA TESTICULAR,TESTICULAR SURGERY,G9643,Elective surgery
CX DE ALARAGAMIENTO OSEO MID,CX BONE LENGTHING MID,,
PROSTATECTOMIA ABIERTA Y RTY,OPEN PROSTATECTOMY AND RTY,,
LEGRADO UTERION,UTERION CURETAGE,,
QX DEDO EN GATILLO IZDO,QX LEFT TRIGGER FINGER,,
MASTOIDECTOMIA,MASTOIDECTOMY,,
CISTOURETROPEXIA  SLING,SLING CYSTOURETHROPEXY,L1070,Trapezius sling
"LIPECTOMIA , LEVANTAMIENTO DE GLUTEOS","LIPECTOMY, GLUTEAL LIFT",,
RESECCION DE LESION OSEA DEDO PIE,TOE BONE INJURY RESECTION,,
IMPLANTE DE MARCAPASOS.,PACEMAKER IMPLANTATION.,C1605,"Pmkr, dual, leadless"
CX LAPAROSCOPICA -CORRECCION ESTRECHEZ URETERAL,LAPAROSCOPIC CX - URETERAL Narrowness CORRECTION,,
CX OCULAR - CATARATA,CX OCULAR - CATARACT,G9424,Site no lung or lung cx
FRACTURA NASAL CORRECCION,NASAL FRACTURE CORRECTION,A4615,Cannula nasal
RECONSTRUCCIÓN MAXILAR SUPERIOR.,UPPER MAXILLARY RECONSTRUCTION.,E0738,Upper extremity rehab
CUADRANTECTOMIA + VACIAMIENTO AXILAR,QUADRANTECTOMY + AXILLARY REMOVAL,,
RESECCION PIEL TORAX POR CA,CHEST SKIN RESECTION BY CA,,
CATETER DOBLE JOTA,DOUBLE JOTA CATHETER,K0902,Ko double upright pre ots
CX PLASTICA MAMOPLASTIA,CX PLASTIC MAMOPLASTY,G9424,Site no lung or lung cx
LAVADOS QX Y QX PLASTICA,QX AND QX PLASTIC WASHES,,
CIRUGIA RENAL,KIDNEY SURGERY,E1632,Wearable artificial kidney
HEMIMANDIBULECTOMIA,HEMIMANDIBULECTOMY,,
CIRUGIA DEDO MANO IZQUIERDA,LEFT HAND FINGER SURGERY,,
OTS PIERNA IZQUIERDA.,OTS LEFT LEG.,L4370,Pneum full leg splnt pre ots
FIJACION RACTURAS FACIALES,FIXATION OF FACIAL CRACTURES,,
RETIRO DE CUERPO EXTRAÑO EN DEDO,REMOVAL OF FOREIGN BODY IN FINGER,G0289,"Arthro, loose body + chondro"
REOPERACION LARINGEO RECURRENTE,RECURRENT LARYNGEO REOPERATION,G9103,Onc dx gastric recurrent
FX CLAVICULA,CLAVICLE FX,C1062,Intravertebral fx aug impl
MULTIPLES CX MSSS,MULTIPLE CX MSSS,G0431,Drug screen multiple class
"SEPTORRINOPLASTIA, MAMOPLASTIA","SEPTORHINOPLASTY, MAMOPLASTY",,
CX TOBILLOS,CX ANKLES,G9424,Site no lung or lung cx
ARTROSCOPIA CADERA (2),HIP ARTHRSCOPY (2),L5702,Replace socket hip
BX RENAL,BX RENAL,C1830,Power bone marrow bx needle
CESAREAS (2 ),CAESAREAS (2),,
CIRUGIAS DE CADERA Y FEMUR,HIP AND FEMUR SURGERIES,L1690,Combination bilateral ho
TABIQUE NASAL,NASAL SEPTUM,A4615,Cannula nasal
HERNIORRAFIA INGUINAL X LAPAROSCOPIA,INGUINAL HERNIORRHAPHY X LAPAROSCOPY,,
MAMO Y RINOPLASTIA,BREAST AND RHINOPLASTY,A4284,Replcmnt breast pump shield
QX MANO Y D1 DEDO IZDA,QX HAND AND D1 LEFT FINGER,,
DESCOMPRESION DE H DISCAL L5-S1 HEMILAMINECTOMIA,DECOMPRESSION OF H DISC L5-S1 HEMILAMINECTOMY,,
ARTROSCOPDIA DE RODILLA,KNEE ARTHROSCOPDY,L2182,Drop lock knee
CX 1 DEDO PIE,CX 1 TOE,G9424,Site no lung or lung cx
CIRUGIA DE ENDOSCOPICA TRANSNASAL,TRANSNASAL ENDOSCOPIC SURGERY,S2342,Nasal endoscop po debrid
CIRUGIA DE TIBIA 17 CIRUGIAS,TIBIA SURGERY 17 SURGERIES,C8003,Imp extar knee shck absrb
OSTEOSINTESIS DE CADERA,HIP OSTEOSYNTHESIS,L5702,Replace socket hip
RESECCION D ELESIÓN EN PÁPARO,RESECTION OF ELESION IN PAPARUS,,
CIERRE DE FISTULA GASTRO CUTANEO,CLOSURE OF GASTROCUTANEOUS FISTULA,,
CIRUGIA DE CORNETES,CORNETAL SURGERY,G9643,Elective surgery
LAPAROTOMIA BRIDAS,FLANGE LAPAROTOMY,A4373,Skin barrier with flange
RESECCION ANTERIOR BAJA,LOW ANTERIOR RESECTION,L1220,Anterior thoracic extension
RESECCION MASA NASAL,NASAL MASS RESECTION,A4615,Cannula nasal
REPARO DE LIGAMENTO CRUZADO POR ARTROSCOPIA,CRUCIATE LIGAMENT REPAIR BY ARTHRSCOPY,,
OTS EN MIEMBRO INFERIOR,OTS IN LOWER LIMB,,
RINOPLASTA,RHINOPLAST,,
BIOPSIA DE TUMOR FEMUR DISTAL IZQUIERDO NUMERO 2,BIOPSY OF LEFT DISTAL FEMUR TUMOR NUMBER 2,,
CX QUISTE OVARIO,CX OVARIAN CYST,G9424,Site no lung or lung cx
RESECCION DE DEDOS SUPERNUMERARIOS,RESECTION OF SUPERNUMERARY FINGERS,,
CX DE OIDOS Y AMÍGDALAS.,CX OF EARS AND TONSILS.,,
COLECISTECTOMIA LAPAROSSCCOPICA,LAPAROSCCOPIC CHOLECYSTECTOMY,,
AMIGADALECTOMIA,TONSILLECTOMY,,
ALICACION DE TOXINA BOTULINA MII,BOTULIN MII TOXIN ALICATION,,
DRENAJE DE ABSCESOS DENTARIOS,DRAINAGE OF DENTAL ABSCESSES,,
CATERATA OI,CATERATA OI,C1814,"Retinal tamp, silicone oil"
FISTULA ANAL,ANAL FISTULA,L8605,Inj bulking agent anal canal
CERVICOPLASTIA,CERVICOPLASTY,,
DECOMPRESION TUNEL CARPO DERECHO,RIGHT CARpal TUNNEL DECOMPRESSION,,
CORRECCION DE CELES,CELES CORRECTION,A9285,Inversion eversion cor devic
CESAREA MASPOMEROY,CESAREA MASPOMEROY,S9438,Cesarean birth class
FRACTURA TOBILLO IZQUIERDO,LEFT ANKLE FRACTURE,L2108,Afo tib fx cast molded to pt
PIE EQUINOVARO BILATERAL,BILATERAL EQUINOVAR FOOT,G9224,Medrsn no foot exam
OST DE MS,MS OST,G9542,Doc reass appr remo filt 3ms
CIRUGIA DE MENISCOS,MENISCUS SURGERY,G0428,Collagen meniscus implant
FIJACION EXTERMA DE FEMUR,EXTERNAL FEMUR FIXATION,A4326,Male external catheter
OST FX CADERA DEREHCA,OST FX RIGHT HIP,,
RECONSTRUCCOIN DE LIGAMENTO CRUZADO,CRUCIATED LIGAMENT RECONSTRUCTION,,
HISTERECOTMIA,HYSTERECOTHMIA,,
DISECTOMIA,DISECTOMY,,
OTS EN CLAVICULA,OTS ON CLAVICLE,L1653,Ho abduction static ots
RESECCION GLANDULA SUPRANUMERARIO,SUPRANUMERARY GLAND RESECTION,,
OTS MAS RA DE FX DE CLAVICULA,OTS MAS CLAVICLE FX RA,,
CORRECCION DE LEFORT II,LEFORT II CORRECTION,,
MULTIPLES CIRUGIAS DE FEMUR DERECHO,MULTIPLE RIGHT FEMUR SURGERIES,,
CX MANGUITO ROTADOIR,CX ROTADOIR CUFF,G9424,Site no lung or lung cx
OFORECTOMIA,OPHORECTOMY,,
CX RODILLA IZQDA Y MANO I.,CX LEFT KNEE AND HAND I.,,
OST DE TOBILLO,ANKLE OST,E1816,Sps/pass ankle device
OSTEOSINTESIS FX MANO DERECHA RODILLA IZQ,OSTEOSYNTHESIS FX RIGHT HAND LEFT KNEE,,
MULTIPLES PROCEDIMIENTOS LARINGE,MULTIPLE LARYNX PROCEDURES,G0431,Drug screen multiple class
CIRUGIA TORACICA,THORACIC SURGERY,G4035,Thoracic surgery ss
EEC MAS LIO,EEC MORE LIO,,
CX M SUP IZQ,CX M SUP LEFT,,
BLOQUEO FACETARIOS.,FACETARY BLOCK.,G9770,Perip nerve block
CISTOSCOPIA MAS BIOPSIA VEJIGA,CYSTOSCOPY PLUS BLADDER BIOPSY,,
VARICOCELCETOMIA,VARICOCELCETOMY,,
APENDICECCTOMIAA LAPAROSCOPICA,LAPAROSCOPIC APPENDICECTOMY,S2079,Lap esophagomyotomy
CCORRECCION SINDACTILIA PIE BILATERAL,BILATERAL FOOT SYNDACTYLY CORRECTION,,
URETROSCOPIA,URETHROSCOPY,,
INJERTO PIE,FOOT GRAFT,L5970,Foot external keel sach foot
FIBROADENOMA MAMA IZDA,LEFT BREAST FIBROADENOMA,G8395,Lvef>=40% doc normal or mild
DEDO EN GATILLO,TRIGGER FINGER,E1832,Sps finger device
LIPOMA REJA COSTAL IZDA,LIPOMA LEFT RIB GRILL,,
EXTRACCION DE CÁLCULO EN URETRA,STONE EXTRACTION IN URETHRA,,
CX COLUMNA #3,CX COLUMN #3,G9424,Site no lung or lung cx
OTS LUXOFX MIDER Y MANO IZDA,OTS LUXOFX MIDER AND LEFT HAND,,
"HISTERECTOMIA, POMEROY","HYSTERECTOMY, POMEROY",G9774,Pt had hyst
HISTEWRECTOMIA,HYSTEWRECTOMY,,
URETEROLITOTOMIA + COLOCACION DE DOBLE J,,,
CORRECION DE CIV,VSD CORRECTION,A9285,Inversion eversion cor devic
HISTERECTOMÍA ABDOMINAL TOTAL,TOTAL ABDOMINAL HYSTERECTOMY,C7565,Rpr aa hrn < 3 rdc w/ rmvl
APLICACION VANTRIS EN MEATO URETRAL,VANTRIS APPLICATION IN URETHRAL MEATUS,,
QUIMITERAPIA,CHEMITHERAPY,,
HERNIA INGUINAL BILATERAL,BILATERAL INGUINAL HERNIA,L1690,Combination bilateral ho
LAPAROTOMIA POR APENDICITIS PERFORADA,LAPAROTOMY FOR PERFORATED APPENDICITIS,,
RINOPLASTIA - TURBINOPLASTIA,RHINOPLASTY - TURBINOPLASTY,,
MULTIPLES INTERVENCIONES EN FERMUR,MULTIPLE INTERVENTIONS IN FERMUR,G0557,Adv prim care mgmt lvl 2
PROTESIS DE CADERA,HIP PROSTHESIS,K1022,Endoskel posit rotat unit
CX ODONTOLOGICA,CX DENTISTRY,G9424,Site no lung or lung cx
CIRUGIA EN PIERNAS,LEG SURGERY,A5112,Urinary leg bag
CX DE MIOMAS,CX OF MYOMAS,G9424,Site no lung or lung cx
OSTEOSINTESIS DE TIBIA,OSTEOSYNTHESIS OF TIBIA,C8003,Imp extar knee shck absrb
2016 #2 EMBOLIZACIONES A HEMANGIOMA,2016 #2 HEMANGIOMA EMBOLIZATIONS,,
LIGADURA VARICES ENDOSCOPIA,ENDOSCOPY VARICOSE LIGATION,C9779,Esd endoscopy or colonoscopy
CIRUGIA DE PIES,FOOT SURGERY,L5970,Foot external keel sach foot
EVENTRORRAFIA CON MALLA 3 VECES,EVENTRORRHAPHY WITH MESH 3 TIMES,,
IQ: REINSERCION O RETROINSERCION DE MUSCULOS RECTOS (UNO O DOS),IQ: REINSERTION OR RETROINSERTION OF RECUS MUSCLES (ONE OR TWO),,
CIRUGIA POR GRANULOMAS LARINGEOS,SURGERY FOR LARYngeal GRANULOMAS,,
URETEROLITOTOMIA Y DOBLE J,URETEROLITOTOMY AND DOUBLE J,,
"CESAREA , ABRUPTO PLACENTA","CESAREA, ABRUPT PLACENTA",S9438,Cesarean birth class
SUTURA EN CARA BAJO ANESTESIA,SUTURE ON FACE UNDER ANESTHESIA,,
CIRUGIA PERIANAL,PERIANAL SURGERY,A4330,Stool collection pouch
RETIRO MATERIAL TOBILLO,ANKLE MATERIAL REMOVAL,L1940,Afo molded to patient plasti
URETROLITOTOMIA  JJ,JJ URETHROLITHOTOMY,C9063,"Injection, eptinezumab-jjmr"
"CX ESCOLIOSIS CONG, CESAREAS 2, SEPTO","CX SCOLIOSIS CONG, CAESAREAS 2, SEPTU",,
POLIPO EN LARINGE,POLYP IN LARYNX,G9112,Onc dx head/neck ext unknown
CRIPTORQUIDIA + HERNIORRAFIA INGUINAL,CRYPTORCHIDIA + INGUINAL HERNIORRHAPHY,,
"TIMPANOPLASTIA OI HACE 40 A, H.ING, CX TALO PIE","OI TYMPANOPLASTY AGO 40 A, H.ING, CX TALO FOOT",,
DRENAJE PIOTORAX,PIOTHORAX DRAINAGE,C1729,"Cath, drainage"
RECONSTRUCCION LCA DER,RIGHT ACL RECONSTRUCTION,C1605,"Pmkr, dual, leadless"
SIGMOIDECTOMIA,SIGMOIDECTOMY,,
LESION LIGAMENTO CRUZADO ANT RODILLA DERECHA,CRUCIATED LIGAMENT INJURY TO THE RIGHT KNEE,,
LUXOFRACTURA CODO,ELBOW FRACTURE,L6250,Elbow inter loc elbow forarm
OST MI,OST MI,A4422,Ost pouch absorbent material
FULGURACIONES  DE CONDILOMAS,FULGURATIONS OF CONDYLOMAS,,
FX TIBIA Y PERONA DERECHA,FX TIBIA AND RIGHT PERONA,,
MANDIBULECTOMIA. + RECONSTRUCCIÓN.,MANDIBULECTOMY. + RECONSTRUCTION.,V2790,Amniotic membrane
LIBERACION BRIDAS,FLANGES RELEASE,J7512,Prednisone ir or dr oral 1mg
CX OCULAR IZQ,CX LEFT EYEPIECE,G9424,Site no lung or lung cx
OTS DE RADIO BILATERAL,BILATERAL RADIO OTS,L1690,Combination bilateral ho
CREACION NEOURETRA,NEOURETRIC CREATION,G0308,180 d implant glucose sensor
8 CX MAXILOFACIALES,8 CX MAXILLOFACIALS,G9424,Site no lung or lung cx
CESSAREA + POMEROY,CESSAREA + POMEROY,,
CORRECCION SINDACTILIA MANO DERECHA,RIGHT HAND SYNDACTYLY CORRECTION,,
CUADRANTECTOMIA MAS VACIAMIENTO,QUADRANTECTOMY PLUS EMPTYING,,
RESECCION LUNAR CARA,FACE MOLE RESECTION,A4619,Face tent
RETIRO MAOS TOBILLO,MAOS ANKLE RETREAT,,
POLIPECTOMIA ENDOMETRIO,ENDOMETRIAL POLYPECTOMY,G9823,Endo smpl/hyst bx res doc
INSTRUMENTACION COLUMNA CERVICAL,CERVICAL SPINE INSTRUMENTATION,A4261,Cervical cap contraceptive
MAMOPLASTIAUAMENTO,MAMMOPLASTIAMENT,,
OSTEOSINTESIS FX HUMERO,OSTEOSYNTHESIS FX HUMEROUS,,
BX HUESO,BX BONE,C1830,Power bone marrow bx needle
LIPOMA EN REGION PECTORAL,LIPOMA IN PECTORAL REGION,,
EXTRACCION DE IMPLANTES MAMRIOS + RECONSTRUCCION,BREAST IMPLANT EXTRACTION + RECONSTRUCTION,,
CX VARICES OK,CX VARICES OK,G9424,Site no lung or lung cx
SIMPATITECTOMIA TORAXICA,THORAXIC SYMPATITECTOMY,,
ESTRACCION DE OVULOS,OVUM EXTRACTION,,
CORRECCION CIV,CIV CORRECTION,A9285,Inversion eversion cor devic
RETIRO MAT OST RODILLA DER,RIGHT KNEE OST MAT REMOVAL,,
"ENDOSCOPIAS DIGESTIVAS, COLOCACION DE CATETER IMPLANTABLE, BIOPSIA DE MEDULA","DIGESTIVE ENDOSCOPIES, IMPLANTABLE CATHETER PLACEMENT, MARROW BIOPSY",,
MÚLTIPLES LAVADOS ABDOMINALES,MULTIPLE ABDOMINAL WASHES,G0431,Drug screen multiple class
HERNIORRAFIA UMBILICA+CIRCUNSICION,UMBILIC HERNIORRHAPHY + CIRCUMSITION,C7565,Rpr aa hrn < 3 rdc w/ rmvl
CORRECION DE HALLUZ PIE DERECHO,HALLUZ CORRECTION RIGHT FOOT,,
LIBERACION TUNEL DE CARPO IZQ,LEFT CARPAL TUNNEL RELEASE,,
LIBERACIÓN TUNEL DEL CARPO IZQUIERDO,LEFT CARPAL TUNNEL RELEASE,,
COLONOSCOPIA Y RESECCION POLIPOS,COLONOSCOPY AND POLYP RESECTION,,
QUISTE BRANQUIAL,BRANCHIAL CYST,G9606,Intraop cyst eval trac inj
VARICECTOMÍA MMMII,MMMII VARICECTOMY,,
CORNETES Y ADENOIDES,Turbinates and adenoids,G8709,Uri ep compete diag
RETIRO DE TUTOR Y MOS,TUTOR AND MOS RETIREMENT,,
HALLUX VALGUS PIE IZDO,HALLUX VALGUS LEFT FOOT,,
CX VIA EREA,CX VIA EREA,G9424,Site no lung or lung cx
MMAOPLASTIA,MMAOPLASTY,,
REDUCCION DE FX,FX REDUCTION,C1062,Intravertebral fx aug impl
LEGRADO #3,CURETURE #3,,
SLEEVE,SLEEVE,L8010,Mastectomy sleeve
ORQUIDOPEXIA IZDO,LEFT ORCHIDOPEXY,G8395,Lvef>=40% doc normal or mild
LAPAROTOMIA POR EMB ECTOPICO,ECTOPIC EMB LAPAROTOMY,,
LITOTRIPSIA,LITHOTRIPSY,C9764,Revasc intravasc lithotripsy
CIRUGIA DE PROSTATA,PROSTATE SURGERY,C9728,"Place device/marker, non pro"
CX OCULAR POR QUEMADURA CON ACIDO,OCULAR CX DUE TO ACID BURN,,
RESECCION MAS MAMA DERECHA,RIGHT BREAST RESECTION,G9613,Doc post surg anatomy
REDUCCION Y OSTEOSINTESIS DE TIBIA IZQUIERDA.,REDUCTION AND OSTEOSYNTHESIS OF LEFT TIBIA.,,
COLOSCTOMIA DE PROTECCION,PROTECTIVE COLOSCTOMY,C1884,Embolization protect syst
DRENAJE COLECCION MUSLO,THIGH COLLECTION DRAINAGE,A7048,Vacuum drain bottle/tube kit
MULTIPLES CAMBIOS DE CATETERE DOBLE J.,MULTIPLE DOUBLE J CATHETER CHANGES.,,
RESECCION HEMANGIOMA BRAZO,ARM HEMANGIOMA RESECTION,E0994,Wheelchair arm rest
FISTULECTOMIA RECTAL (3),RECTAL FISTULECTOMY (3),A4337,Incontinent rectal insert
CESAREA ANOTADA,NOTED CESAREA,G9552,Inc thyr node <1.0 in rpt
NEFROSTOMIA,NEPHROSTOMY,C7547,Cnvrt neph cath w/ dil stric
BIOPSIA DE MAMA,BREAST BIOPSY,G8875,Breast cancer dx min invsive
CRANEOTOMIA CON CLIP EN ANEURISMA CEREBRAL,CRANIOTOMY WITH CLIP IN CEREBRAL ANEURYSM,,
VARIAS CX ORTOPDICAS M INF DERECHA,VARIOUS CX ORTHOPEDIC M INF RIGHT,,
ESCLEROTERAPIA HEMANGIOMA FACIAL,FACIAL HEMANGIOMA SCLEROTHERAPY,L8043,Upper facial prosthesis
PARATIRODECTOMIA,PARATHYRODECTOMY,,
LAPAROTOMIA POR ACCIDENTE DE TRANSITO,,,
RA + OST ANTEBRAZO IZQ,RA + OST LEFT FOREARM,,
QUISTE MAMA,BREAST CYST,C1789,"Prosthesis, breast, imp"
"LAPAROTOMIA , ECTOPICO","LAPAROTOMY, ECTOPIC",G0343,Laparotomy islet cell transp
RETIRO DE IMPLANTES EN MAMA,REMOVAL OF IMPLANTS IN BREAST,,
TUBO DE TORAX POR DERRAME PLAURAL D3 CAUSA NO CLARA,CHEST TUBE DUE TO PLAURAL SPILL D3 UNCLEAR CAUSE,,
OST FX BRAZO IZQ,OST FX LEFT ARM,,
CIRUGIA RODILLA IZQ,LEFT KNEE SURGERY,G9502,Med reas no perf foot exam
REEMPLAZO DE RODILLA IZQUIERDO,LEFT KNEE REPLACEMENT,G9502,Med reas no perf foot exam
ANEST RMN,ANEST MRI,G9656,Pt trans from anest to pacu
RESECCION HEMANGIOMA MSD,MSD HEMANGIOMA RESECTION,,
CIRUGIA ENDOSCOPICA SPN-POLIPOS,SPN-POLYP ENDOSCOPIC SURGERY,,
RUPTURA DE TENDON DE AQUILES,ACHILLES TENDON RUPTURE,,
CX. LIGAMENTO CRUZADO RODILLA IZQUIERDA,CX. LEFT KNEE CRUCIATED LIGAMENT,,
"LIPOESCULTURA, APENDICECTOMIA, HISTERECTOMIA, POMEROY","LIPOSCULPTURE, APPENDICECTOMY, HYSTERECTOMY, POMEROY",,
CX. BARIATRICA,CX. BARIATRICS,G9424,Site no lung or lung cx
CX FEMUR DERECHO,CX RIGHT FEMUR,G9424,Site no lung or lung cx
OTS TIBIA DERECHA,OTS RIGHT TIBIA,L1653,Ho abduction static ots
CX TOBILLO DERECHO,CX RIGHT ANKLE,G9424,Site no lung or lung cx
MARHURKAR,MARHURKAR,,
CX ESTRABISMO OD,CX STRABISMUS OD,G9424,Site no lung or lung cx
AMIKGDALECTOMIA,AMIKGDALECTOMY,,
CX. DE RODILLA DERCHA POR TRAUMA.,CX. RIGHT KNEE DUE TO TRAUMA.,,
DERIVACION SISTEMICO PULMONAR,PULMONARY SYSTEMIC DERIVATION,C1601,"Endo, single, pulmonary"
REDUCCION DE FX EN BRAZO,FX REDUCTION IN ARM,,
RESONANCIA MAGENITCA CEREBRAL,BRAIN MRI,G9538,Adv brain image ordered
QUISTE MAMARIOS BILATERAL,BILATERAL BREAST CYST,C8906,"Mri w/cont, breast,  bi"
HISRERECTOMIA LAPAROSCOPICA,LAPAROSCOPIC HYSRERECTOMY,S2079,Lap esophagomyotomy
CORRECCION DEFORMIDAD TORACICA,CHEST DEFORMITY CORRECTION,E0457,Chest shell
LIPOSUCCION + MAMOPLASTIA,LIPOSUCTION + MAMMOPLASTY,G8876,Doc reas no min inv dx
LAPAROSCOPIA GINECOLOGICA  DX,DX GYNECOLOGICAL LAPAROSCOPY,G9067,Onc dx nsclc dx unknown nos
ANALGESIA PERIDURAL PARA T DE P,PERIDURAL ANALGESIA FOR T OF P,,
CX OFTALMOLOGIA,CX OPHTHALMOLOGY,G9424,Site no lung or lung cx
