input_es,input_en,icd11_code,icd11_title,icd11_uri,icd10cm_code,icd10cm_term
LESION DE FIBRAS DORSALES DE FCT,FCT DORSAL FIBER INJURY,,,,,
TUMOR HILIAR DERECHO PULMONAR,RIGHT PULMONARY HILIAR TUMOR,,,,,
CARCINOMA TESTICULAR.,TESTICULAR CARCINOMA.,,,,E29.0,Testicular hyperfunction
FACOMORFISMO,PHACOMORPHISM,,,,,
FRACTURA 5 DEDO MANO IZQUIERDO,FRACTURE 5 FINGER LEFT HAND,,,,M84.345S,"Stress fracture, left finger(s), sequela"
TRAUMA PIE IZQUIERDO,LEFT FOOT TRAUMA,,,,M87.275,"Osteonecrosis due to previous trauma, left foot"
CERVICALGIA CRINICA,CRINICAL CERVICALGIA,,,,M54.2,Cervicalgia
CARDIOPATIA CONGENITRA COMPLEJA,COMPLEX CONGENITRA HEART DISEASE,,,,,
PRESBICIA,PRESBYOPIA,,,,H52.4,Presbyopia
LESION MANGUITO HOMBRO DERECHO,RIGHT SHOULDER Cuff INJURY,,,,S46.001S,"Unspecified injury of muscle(s) and tendon(s) of the rotator cuff of right shoulder, sequela"
CANCER ENDOMETRIO,ENDOMETRIAL CANCER,,,,N85.00,"Endometrial hyperplasia, unspecified"
CUERPO EXTRAÑO CORNEA OJO DER,FOREIGN BODY CORNEA RIGHT EYE,,,,T15.01XS,"Foreign body in cornea, right eye, sequela"
DONANTE HEPATICO VIVO,LIVE LIVER DONOR,,,,Z52.6,Liver donor
PANSINUSITUS CRONICA,CHRONIC PANSINUSITUS,,,,A39.3,Chronic meningococcemia
HIPERCOLESTEROLEMIA PURA,PURE HYPERCHOLESTEROLEMIA,,,,E78.00,"Pure hypercholesterolemia, unspecified"
TRAUMA PULGAR IZQUIERDO,LEFT THUMB TRAUMA,,,,M65.312,"Trigger thumb, left thumb"
LESION RODILLA IZQUEIRDA,LEFT KNEE INJURY,,,,S87.02XS,"Crushing injury of left knee, sequela"
"HERNIA DISCAL, COMPRESION LUMBAR","DISC HERNIATION, LUMBAR COMPRESSION",,,,,
RAUMA RODILLA DERECHA,RAUMA RIGHT KNEE,,,,M23.41,"Loose body in knee, right knee"
CÁLCULO EN LA UNIÓN PIELOURETERAL,CALCULATION AT THE PIELOURETERAL JUNCTION,,,,,
URETEROLITIASIS BILATERAL,BILATERAL URETEROLITIASIS,,,,H10.813,"Pingueculitis, bilateral"
HERNIAS INCISIONALES MULTIPLES,MULTIPLE INCISIONAL HERNIAS,,,,G35,Multiple sclerosis
PATOLOGÍA ACROMIOCLAVICULAR,ACROMIOCLAVICULAR PATHOLOGY,,,,S43.111S,"Subluxation of right acromioclavicular joint, sequela"
TENOSINVITIS DE FLEXORES ANULAR MANO DER,TENOSYNVITIS OF RIGHT HAND ANNULAR FLEXORS,,,,,
NECROSIS AVASCULAR DEL NAVICULAR PIE IZQUIERDO,AVASCULAR NECROSIS OF THE NAVICULAR LEFT FOOT,,,,,
"MANO O PIE EN GARRA O EN TALIPES, PIE EQUINOVARO O ZAMBO ADQUIRIDOS","ACQUIRED CLAW OR TALIPES HAND OR FOOT, EQUINOVARUS OR CLUBFOOT",,,,,
SINDROME DEL TUNEL CARPIANO IZQUIERDO,LEFT CARPAL TUNNEL SYNDROME,,,,G56.02,"Carpal tunnel syndrome, left upper limb"
FRACTURA NASAL Y CIGOMATICO IZQUIERDO,NASAL AND LEFT ZYGOMATIC FRACTURE,,,,,
POSOPERATORIO OSTEOSINTESIS FEMUR DERECHO,POST-OPERATIVE RIGHT FEMUR OSTEOSYNTHESIS,,,,,
LESION MENISCAL Y CONDRAL RODILLA DERECHA,MENISCAL AND CHONDRAL INJURY OF RIGHT KNEE,,,,,
CARCINOMA MAMA IZQUIERDA,LEFT BREAST CARCINOMA,,,,D05.02,Lobular carcinoma in situ of left breast
TUMOR DE COMPORTAMIENTO INCIERTO DEL MEDIASTINO,MEDIASTINE TUMOR OF UNCERTAIN BEHAVIOR,,,,,
NEFROLITOTOMIA PERCUTANEA IZQUIERDA,LEFT PERCUTANEOUS NEPHROLITHOTOMY,,,,M94.272,"Chondromalacia, left ankle and joints of left foot"
CIRROSIS CHILD A,CIRRHOSIS CHILD A,,,,K74.3,Primary biliary cirrhosis
PECTUM CANINATUM,PECTUM CANINATUM,,,,,
SEGUNDO EMBRARAZO/CESAREA PREVIA,SECOND PREGNANCY / PREVIOUS CAESAREAN SECTION,,,,,
FRACTURA PATOLOGICA,PATHOLOGICAL FRACTURE,,,,M84.454S,"Pathological fracture, pelvis, sequela"
CARCINOMA BASOCELULAR EN REGIÓN DE MEJILLA IZUQIERDA,BASEL CELL CARCINOMA IN THE LEFT CHEEK REGION,,,,,
CUERPO EXTRAÑO EN TEJIDO GRASO,FOREIGN BODY IN FAT TISSUE,,,,M79.5,Residual foreign body in soft tissue
TRASTORNO ROTULO FEMORAL DERECHO,RIGHT FEMORAL PATEL DISORDER,,,,,
"HIPERTROFIA DE CORNETES, ADENOIDES, AMIGDALAS","HYPERTROPHY OF CORNETES, ADENOIDS, TONSILS",,,,J35.3,Hypertrophy of tonsils with hypertrophy of adenoids
"GRAVIDA 1, PINZAMINETO DE CADERA",,,,,,
PSEUDOARTROSIS FEMUR,FEMUR PSEUDOARTHRITIS,,,,M86.251,"Subacute osteomyelitis, right femur"
ENDOMETRIOIS PROFUNDA,DEEP ENDOMETRIOIS,,,,N94.12,Deep dyspareunia
SINDROME CONFUSIONAL,CONFUSIONAL SYNDROME,,,,G47.51,Confusional arousals
SINDROME TUNEL CARPO MANO DERECHA,RIGHT HAND CARPAL TUNNEL SYNDROME,,,,G56.01,"Carpal tunnel syndrome, right upper limb"
CIRCUNCISION,CIRCUMCISION,,,,Z41.2,Encounter for routine and ritual male circumcision
CONDROMA ANTEBRAZO,FOREARM CHONDROMA,,,,M86.8X3,"Other osteomyelitis, forearm"
TENOSINVITIS DE I COMPARTIMIENTO EXTENSOR DE MANO IZQ,TENOSYNVITIS OF I EXTENDER COMPARTMENT OF THE LEFT HAND,,,,,
HEMANGIOMA SUBGLOTICO,SUBGLOTTIC HEMANGIOMA,,,,J95.5,Postprocedural subglottic stenosis
MASAS EN PARPADOS SUPERIORES AMBOS OJOS,MASSES IN UPPER EYELIDS BOTH EYES,,,,,
LITIASIS BILIAR/COLEDOCOLITIASIS?,BILIARY LITHIASIS/CHOLEDOCOLITIASIS?,,,,K83.5,Biliary cyst
"HERNIA INGUINAL IZQUIERDA,","LEFT INGUINAL HERNIA,",,,,N83.42,Prolapse and hernia of left ovary and fallopian tube
POSIBLE COMUNICACION INTERVENTRICULAR,POSSIBLE INTERVENTRICULAR COMMUNICATION,,,,,
FALLA RENAL CRONICA EN HEMODIALISIS,CHRONIC RENAL FAILURE IN HEMODIALYSIS,,,,,
PTREIGION OJO DERECHO,PTREIGION RIGHT EYE,,,,H44.321,"Siderosis of eye, right eye"
LESION LIGAMENTO LATERAL DE TOBILLO,LATERAL ANKLE LIGAMENT INJURY,,,,,
VPH POSITIIVO,HPV POSITIVE,,,,R85.81,Anal high risk human papillomavirus (HPV) DNA test positive
TUMOR PELVIS RENAL,RENAL PELVIS TUMOR,,,,C65.1,Malignant neoplasm of right renal pelvis
CAMBIOS EN LAS MEMBRANAS DE LA CORNEA,CHANGES IN THE CORNEAL MEMBRANES,,,,,
NEURALGIA DEL TRIGEMINO RAMA V3,NEURALGIA OF THE TRIGEMINAL BRANCH V3,,,,,
ENFERMEDAD DEL REFLUJO GASTROESOFAGICO C,GASTROESOPHAGEAL REFLUX DISEASE C,,,,K21.9,Gastro-esophageal reflux disease without esophagitis
CARCINOMA BASOCELULAR NODULAR PARPADO INFEIROR DERECHO,NODULAR BASAL CELL CARCINOMA OF THE RIGHT LOWER EYELID,,,,,
QUISTE PLONIDAL,PLONIDIAL CYST,,,,G96.191,Perineural cyst
SECUELAS TRAUMA OCULAR,EYE TRAUMA AFTERMATH,,,,H40.30X0,"Glaucoma secondary to eye trauma, unspecified eye, stage unspecified"
NODULO TIROIDEO SOLITARIO NO TOXICO,NON-TOXIC SOLITAIRE THYROID NODULE,,,,,
DACRIOCISTITIS A REPETICIÓN,REPETITION DACRYOCYSTITIS,,,,P39.1,Neonatal conjunctivitis and dacryocystitis
AGUJERO MACULAR EN OJO IZQUIERDO,MACULAR HOLE IN LEFT EYE,,,,H35.342,"Macular cyst, hole, or pseudohole, left eye"
HERIDA COMPLEJA EN CODO IZQUIERDO,COMPLEX WOUND IN LEFT ELBOW,,,,,
"RIZARTROSIS, DEDO EN GATILLO 3ER DEDO MANO DERECHA, SD TUNEL DEL CARPO","RIZARTHRITIS, TRIGGER FINGER, 3RD FINGER RIGHT HAND, SD CARPAL TUNNEL",,,,,
COTROL DE NATALIDAD,BIRTH CONTROL,,,,P15.9,"Birth injury, unspecified"
BLEFARITIS POSTERIOR,POSTERIOR BLEPHARITIS,,,,G83.83,Posterior cord syndrome
HIPERTROFIA DE TEJIDO ADENOIDEO.,HYPERTROPHY OF ADENOID TISSUE.,,,,,
ISQUEMIAS TRANITORIAS,TRANSITORY ISCHEMIAS,,,,P71.4,Transitory neonatal hypoparathyroidism
BURSITIS OLEOCRANIANA IZQUIERDA,LEFT OLEOCRANIAN BURSITIS,,,,M70.12,"Bursitis, left hand"
TENOSINVITIS DE XTESNORES DE PULAR,TENOSYNVITIS OF PULAR XTESNORES,,,,,
HERIDA POR EXPLOSION PIE,FOOT EXPLOSION INJURY,,,,S97.80XS,"Crushing injury of unspecified foot, sequela"
LESIONES HIPERTROFICAS QUELOIDES EN OREJAS,KELOID HYPERTROPHIC LESIONS IN EARS,,,,,
DOLOR EN MIEMBRO INFERIOR DERECHO,PAIN IN RIGHT LOWER LIMB,,,,M79.661,Pain in right lower leg
PTRIGIO OJO IZQUIERDO,PTRIGIO LEFT EYE,,,,H44.322,"Siderosis of eye, left eye"
ESTENOSIS VIA LAGRIMAL DERECHA,RIGHT LACRIMAL DUCT STENOSIS,,,,C69.51,Malignant neoplasm of right lacrimal gland and duct
POLIPO ENDOMETRIA,ENDOMETRIAL POLYP,,,,N85.00,"Endometrial hyperplasia, unspecified"
LESION VASCULAR EN ANTEBRAZO IZQUIERDO,VASCULAR INJURY IN LEFT FOREARM,,,,,
"RUPTURA LIGAMENTO CRUZADO ANTERIOR RODILLA DERECHA, LESION MENISCAL","RUPTURED ANTERIOR CRUCIATED LIGAMENT OF THE RIGHT KNEE, MENISCAL INJURY",,,,,
ADENOMIOSIS Y QUISTE DE BARTHOLINO DERECHO,ADENOMIOSIS AND RIGHT BARTHOLINE CYST,,,,,
BANDAS AMNIOTICAS PIE IZQUIERDO,AMNIOTIC BANDS LEFT FOOT,,,,,
TEOSINOVITIS DE FLEXORES DE 3R DEDO QUE NO MEJORA CON TTO MEDICO,THEOSYNOVITIS OF THE 3RD FINGER FLEXORS THAT DOES NOT IMPROVE WITH MEDICAL TTO,,,,,
TUMOR LIPOMATOSO ESCAPULAR,SCAPULAR LIPOMATOUS TUMOR,,,,T22.061S,"Burn of unspecified degree of right scapular region, sequela"
DOLOR MANO IZQUIERDA,LEFT HAND PAIN,,,,M79.642,Pain in left hand
PTERIGIO NASAL OJO DERECHO,NASAL PTERYGIMUM RIGHT EYE,,,,,
LESION MENISCO LATERAL RODILLA  IZQUIERDA,LEFT KNEE LATERAL MENISCUS INJURY,,,,S83.262S,"Peripheral tear of lateral meniscus, current injury, left knee, sequela"
CISTOECELE Y RECTOCELE GRADO 3,CYSTOECELE AND RECTOCELE GRADE 3,,,,,
ADENOPATIA CERVICAL DERECHA,RIGHT CERVICAL ADENOPATHY,,,,M94.271,"Chondromalacia, right ankle and joints of right foot"
QUISTE TORSIDO OVARIO,OVARIAN TORSID CYST,,,,Q50.1,Developmental ovarian cyst
DOLOR LUMBO SACRO,LUMBOSACRAL PAIN,,,,M51.372,"Other intervertebral disc degeneration, lumbosacral region with discogenic back pain and lower extremity pain"
DOLOR LUMBIOSACRO DERECHO,RIGHT LUMBIOSACRAL PAIN,,,,M94.271,"Chondromalacia, right ankle and joints of right foot"
"HIPERTROFIA DE ADENOIDES, OTITIS CRONICA","ADENOID HYPERTROPHY, CHRONIC OTITIS",,,,,
CREASTAS ANALES,ANAL CREATAS,,,,K59.4,Anal spasm
TUMOR LIPOMATORSO DELTOIDEO DERECHO,RIGHT DELTOID LIPOMATORSO TUMOR,,,,,
MEDULA ANCLADA A ESTUDIO,MARROW ANCHORED TO STUDY,,,,,
LUXOFRACTURA T12L1,LUXOFRACTURE T12L1,,,,S23.170S,"Subluxation of T12/L1 thoracic vertebra, sequela"
HERNIA UMBILICLA,UMBILLICAL HERNIA,,,,Q40.1,Congenital hiatus hernia
PLIPOS EN LA VESICULA,PLYPS IN THE BLADDER,,,,,
POSTOPERATORIO DE CIRUGIA ORTOPEDICA,POSTOPERATIVE ORTHOPEDIC SURGERY,,,,Z47.82,Encounter for orthopedic aftercare following scoliosis surgery
AUMENTO ANORMAL DE PESO,ABNORMAL WEIGHT GAIN,,,,R63.5,Abnormal weight gain
FIMORISS,FIMORISS,,,,,
NODULOS MAMARIOS,BREAST NODULES,,,,S20.00XS,"Contusion of breast, unspecified breast, sequela"
LUXACIÓN POSTEROLA,POSTEROLAL DISLOCATION,,,,H27.10,Unspecified dislocation of lens
FRACTURA PATOLOGICA DE 5 MTC DE MANO DERECHA,PATHOLOGICAL FRACTURE OF 5 MTC OF THE RIGHT HAND,,,,,
HERIDA PALPEBRAL,EYELID WOUND,,,,S01.101S,"Unspecified open wound of right eyelid and periocular area, sequela"
MASA SUPRARRENAL DERCHA,RIGHT ADRENAL MASS,,,,D35.01,Benign neoplasm of right adrenal gland
MATERIAL DE CERCLJE,CERCLJE MATERIAL,,,,K08.530,Fractured dental restorative material without loss of material
MASA CARA MEDIAL MUSLO DERECHO,MEDIAL FACE MASS OF RIGHT THIGH,,,,,
MASA EN CIEGO EN ESTUDIO,BLIND MASS IN STUDY,,,,,
CARCINOMA BASOCELULAR ALA Y PUNTA NASAL,BASAL CELL CARCINOMA WING AND NASAL TIP,,,,,
"NEVO, NO NEOPLASICO","NEVUS, NOT NEOPLASTIC",,,,I78.1,"Nevus, non-neoplastic"
"PAPILA ANAL, HEMORROIDES","ANAL PAPILLA, HEMORRHOIDS",,,,K59.4,Anal spasm
CONTROL CIRUGIA ABDOMINAL,ABDOMINAL SURGERY CONTROL,,,,A42.1,Abdominal actinomycosis
ESTRECHEZ URETRAL Y LESIONES EN CUELLO,URETHRAL Narrowness and NECK INJURIES,,,,,
CARCINOMA INFILTRANTE DUCTAL IZQUIERDO,LEFT INFILTRATING DUCTAL CARCINOMA,,,,,
OSTEOTOMIA RODILLA DERECHA,RIGHT KNEE OSTEOTOMY,,,,M23.41,"Loose body in knee, right knee"
LUXACION DE PERONEO IZQUIERDO,LEFT FIBERAL DISLOCATION,,,,M24.412,"Recurrent dislocation, left shoulder"
LESION CAPTANTE EN MANDIBULA,CAPTURED INJURY IN THE MANDIBLE,,,,,
"OTITIS MEDIA SROSA A REPETICIÓN, HIPERTROFIA DE ADENOIDES Y AMIGDALAS","REPEATED OTITIS MEDIA SROSA, HYPERTROPHY OF ADENOIDS AND TONSILS",,,,,
LIPOMA VERVICAL DERECHO,RIGHT VERVICAL LIPOMA,,,,M94.271,"Chondromalacia, right ankle and joints of right foot"
LESION SENO DER,RIGHT SINUS INJURY,,,,M86.411,"Chronic osteomyelitis with draining sinus, right shoulder"
CICATRIZ MANDIBULA IZQUIERDA,LEFT MANDIBULA SCAR,,,,H35.3223,"Exudative age-related macular degeneration, left eye, with inactive scar"
DEOPLASIA DE APENDICE,APPENDIX DEOPLASTY,,,,K38.0,Hyperplasia of appendix
FIMOIS,FIMOIS,,,,,
ARTROSIS HOMBRO,SHOULDER ARTHROSIS,,,,M75.80,"Other shoulder lesions, unspecified shoulder"
FRACTURA CÚBITO DISTAL DERECHO,RIGHT DISTAL ULNA FRACTURE,,,,S63.071S,"Subluxation of distal end of right ulna, sequela"
CNCER DE COLON,COLON CRANK,,,,K63.5,Polyp of colon
DISINERGIA DEFECATORIA,DEFECATORY DYSYNERGY,,,,,
ASTROCITOMA ANAPLASICO FRONTAL DERECHO,RIGHT FRONTAL ANAPLASTIC ASTROCYTOMA,,,,,
SANGRADO MENSTRUAL,MENSTRUAL BLEEDING,,,,G43.831,"Menstrual migraine, intractable, with status migrainosus"
HERIDA PIERNA IZQUIERDA,LEFT LEG WOUND,,,,S81.802S,"Unspecified open wound, left lower leg, sequela"
HIDROCELE BILATERAL MAS HERNIA UMBILICAL,BILATERAL HYDROCELE PLUS UMBILICAL HERNIA,,,,,
GENO VALGO BILATERAL,BILATERAL GENO VALGUUS,,,,H10.813,"Pingueculitis, bilateral"
CIRROSIS AUTOINMUNE,AUTOIMMUNE CIRRHOSIS,,,,E06.3,Autoimmune thyroiditis
CARCINOMA BASOCELULAR NODULAR EN PARPADO INFERIOR IZUQIERDO,NODULAR BASAL CELL CARCINOMA OF THE LEFT LOWER EYELID,,,,,
PARIDAD SATISFACTORIA,SATISFACTORY PARITY,,,,R85.616,Satisfactory anal smear but lacking transformation zone
HEMATOQUEZIQ,HEMATOCHEZIQ,,,,,
FOCO ENDOMETRIOSI EN CICATRIZ CUTANEA REGION INGUINA DERECHA,ENDOMETRIOSI FOCUS IN SKIN SCAR RIGHT INGUINE REGION,,,,,
ENFERMEDAD MANGUITO ROTADOR DERECHO,RIGHT ROTATOR Cuff DISEASE,,,,S43.421S,"Sprain of right rotator cuff capsule, sequela"
TUMOR SENO DERECHO,RIGHT BREAST TUMOR,,,,S20.111S,"Abrasion of breast, right breast, sequela"
TRES LESIONES POLIPOIDES.,THREE POLYPOID LESIONS.,,,,Q97.1,Female with more than three X chromosomes
POP REDUCCION RACT,POP REDUCTION RACT,,,,G57.30,"Lesion of lateral popliteal nerve, unspecified lower limb"
ARTROSIS DE LA PRIMERA ARTICULACION CARP,ARTHROSIS OF THE FIRST CARP JOINT,,,,,
CONDROMALASIA PATEOFEMORAL,PATHEOFEMORAL CHONDROMALASIA,,,,,
PAPILOMA INTRADUCTAL SENO DERECHO,INTRADUCTAL PAPILLOMA RIGHT BREAST,,,,D05.11,Intraductal carcinoma in situ of right breast
ALODINIA PIERNA DERECHA,RIGHT LEG ALLODYNYA,,,,M76.61,"Achilles tendinitis, right leg"
NEFROLITIASIS IZQUIERDA MÚLTIPLE,MULTIPLE LEFT NEPHROLITHIASIS,,,,H33.022,"Retinal detachment with multiple breaks, left eye"
LESION EN GLANDULA SUBMANDIBULAR DERECHA SOLIDA,INJURY TO SOLID RIGHT SUBMANDIBULAR GLAND,,,,,
ONICOCRIPTOSIS INDICE DERECHO,ONYCHOCRYPTOSIS RIGHT INDEX,,,,M65.321,"Trigger finger, right index finger"
HEMANGIOMA MANDIBULAR DERECHA,RIGHT MANDIBULAR HEMANGIOMA,,,,M94.271,"Chondromalacia, right ankle and joints of right foot"
MAMOPLASTIA AUMENTO,MAMMOPLASTY ENLARGEMENT,,,,K06.1,Gingival enlargement
"HIPRTROFIA DE CORNETES, AMIGDALAS Y ADENOIDES","HYPRTROPHY OF CORNETES, TONSILS AND ADENOIDS",,,,,
EMBARAZO A TEMRINO,TERMINATE PREGNANCY,,,,O00.00,Abdominal pregnancy without intrauterine pregnancy
FIMOSIS PATOLOGICA,PATHOLOGICAL PHIOSIS,,,,F63.0,Pathological gambling
CARCINOMA DE ENDOMETRIO,ENDOMETRIAL CARCINOMA,,,,N85.00,"Endometrial hyperplasia, unspecified"
HIPERTENSION PULMONAR,PULMONARY HYPERTENSION,,,,I27.0,Primary pulmonary hypertension
PERCENTIL DE CRECIMIENTO BAJO,LOW GROWTH PERCENTILE,,,,Z59.6,Low income
LESIÓN COMPLETA LIGAMENTO CRUZADO,COMPLETE CRUCIATED LIGAMENT INJURY,,,,,
"UTERO SEPTADO, LESION ANEXIAL IZQUIERDA","SEPTATE UTERUS, LEFT ANNEXAL LESION",,,,,
TUMOR NASO FARINGEO,NASOPHARYNGEAL TUMOR,,,,A36.1,Nasopharyngeal diphtheria
LESION QUELOIDE LABIO SUPERIOR,UPPER LIP KELOID LESION,,,,,
LESION LIGAMENTO C,LIGAMENT C INJURY,,,,S14.101S,"Unspecified injury at C1 level of cervical spinal cord, sequela"
TRAUMA PELVICO SEVERO.,SEVERE PELVIC TRAUMA.,,,,H40.33X3,"Glaucoma secondary to eye trauma, bilateral, severe stage"
LEUCOPLAQUIA EN PLIEGUES VOCALES,LEUKOPLAKIA IN VOCAL FOLDS,,,,,
DESGARRO MENISCAL,MENISCAL TEAR,,,,G96.11,Dural tear
NÓDULOS SÓLIDOS MAMARIOS BILATERALES,BILATERAL BREAST SOLID NODULES,,,,,
SCHWANOMA BRAQUIAL DERECHA,RIGHT BRACHIAL SCHWANOMA,,,,S45.111S,"Laceration of brachial artery, right side, sequela"
POLIPO DEL UTERO,UTERUS POLYP,,,,Q51.3,Bicornate uterus
FRACTURA D ODO,EAR FRACTURE,,,,H60.331,"Swimmer's ear, right ear"
LESIÓN ANEXIAL IZQUIERDA,LEFT ANNEXAL INJURY,,,,S35.512S,"Injury of left iliac artery, sequela"
TENOSITIS DE DEDO DE LA MANO ZIQUIERDA,LEFT FINGER TENOSITIS,,,,M65.322,"Trigger finger, left index finger"
BLEFAROPLASTIA SUPERIOR,UPPER BLEPHAROPLASTY,,,,G83.0,Diplegia of upper limbs
LESION LIGAMENTARIA MANO DERECHA,RIGHT HAND LIGAMENTARY INJURY,,,,S67.21XS,"Crushing injury of right hand, sequela"
LUXACIÓN A REPETICIÓN DE HOMBRO DERECHO,REPEATED DISLOCATION OF THE RIGHT SHOULDER,,,,,
LESION DE LCA Y MENISCO RODILLA DERECHA,RIGHT KNEE ACL AND MENISCUS INJURY,,,,,
"TRASTORNO DEL GLOBO OCULAR, NO ESPECIFIC","EYEBALL DISORDER, UNSPECIFIC",,,,Q11.0,Cystic eyeball
SUBLUXACIÓN ANTERIOR DE NERVIO CUBITAL BILATERAL,ANTERIOR SUBLUXATION OF BILATERAL CUBITAL NERVE,,,,,
FX DE ANTEBRAZO DERECHO,RIGHT FOREARM FX,,,,M89.031,"Algoneurodystrophy, right forearm"
LESIÓN MENISCO MEDIAL RODILLA DERECHA,MEDIAL MENISCUS INJURY OF RIGHT KNEE,,,,S83.221S,"Peripheral tear of medial meniscus, current injury, right knee, sequela"
TUMOR DE SENO,BREAST TUMOR,,,,S20.00XS,"Contusion of breast, unspecified breast, sequela"
TUMOR GLOMICO PULGAR,THUMB GLOMIC TUMOR,,,,M65.311,"Trigger thumb, right thumb"
FIMOSIS + PREPUCIO REDUNDANTE,PHIOSIS + REDUNDANT FORESPUCE,,,,,
OBSTRUCCION URINARIA,URINARY OBSTRUCTION,,,,N20.9,"Urinary calculus, unspecified"
LESION DE  TENDON HOMBRO DERECHO,RIGHT SHOULDER TENDON INJURY,,,,S46.001S,"Unspecified injury of muscle(s) and tendon(s) of the rotator cuff of right shoulder, sequela"
LESION MENISCO INTERNO RODILLA IZUQIERDA,LEFT KNEE INTERNAL MENISCUS INJURY,,,,S83.204S,"Other tear of unspecified meniscus, current injury, left knee, sequela"
POSOPERATORIO CIRUGIA MIEMBRO INFERIOR IZQUIERDO,POST-OPERATIVE LEFT LOWER LIMB SURGERY,,,,,
LUXACION ROTULA IZQUIERDO,LEFT PATELLA LUXATION,,,,M22.02,"Recurrent dislocation of patella, left knee"
MASA EN SENO,MASS IN SINE,,,,R19.05,"Periumbilic swelling, mass or lump"
SUBLUXACION DE COXIS,COCXY SUBLUXATION,,,,H27.113,"Subluxation of lens, bilateral"
TRASTORNO SIQUIATRICO,PSYCHIATRIC DISORDER,,,,Z04.6,"Encounter for general psychiatric examination, requested by authority"
FRACTURA TERCER DEDO MANO DERECHA,FRACTURE THIRD FINGER RIGHT HAND,,,,S62.302S,"Unspecified fracture of third metacarpal bone, right hand, sequela"
LESION DEDO 1 MANO IZQUIERDA,FINGER INJURY OF 1 LEFT HAND,,,,S69.92XS,"Unspecified injury of left wrist, hand and finger(s), sequela"
DISP´LASIA CERVICAL,CERVICAL DYSPLASIA,,,,N87.0,Mild cervical dysplasia
FRACTURA DE CALCANEO .,CALCANEAL FRACTURE.,,,,M77.30,"Calcaneal spur, unspecified foot"
FRACTURA EXPUESTA DE FALANGE DSITAL 4TO DEDO DE MANO IZQUIERDA,EXPOSED FRACTURE OF DSITAL PHALANGE OF 4TH FINGER OF LEFT HAND,,,,,
"JUANETE SEVERO + DEDOS EN GARRA 2 ,3 METATARSALGI POR TRANSFERENCIA","SEVERE BUNION + CLAW TOES 2,3 METATARSALGI BY TRANSFER",,,,,
ANTECEDENTE DE MAMOPLASTIA DE AUMENTO,HISTORY OF AUGMENTATION MAMMOPLASTY,,,,,
LESION RODILLA DERECHA LIGAMENTO CRUZADO Y MENISCO,RIGHT KNEE INJURY CRUCIATED LIGAMENT AND MENISCUS,,,,,
LUXACIÓN DE PATELA DERECHA,RIGHT PATELLA DISLOCATION,,,,M22.01,"Recurrent dislocation of patella, right knee"
QUEILITIS SEVERA-TEJIDO REDUNDANTE LABIO INFERIOR,SEVERE CHEILITIS-REDUNDANT TISSUE LOWER LIP,,,,,
PTERIGIO Y CATARATA,PTERYGIM AND CATARACT,,,,H26.09,Other infantile and juvenile cataract
OSTEOSINTESIS DE ESCAFOIDES,SCAPHOID OSTEOSYNTHESIS,,,,S92.251S,"Displaced fracture of navicular [scaphoid] of right foot, sequela"
SINDROME DEL TUNEL CARPIANO DERECHO,RIGHT CARPAL TUNNEL SYNDROME,,,,G56.01,"Carpal tunnel syndrome, right upper limb"
ULCERA PREPILORICA,PREPYLORIC ULCERA,,,,A69.0,Necrotizing ulcerative stomatitis
FRACTURA RADIO DISTAL DERECHO,RIGHT DISTAL RADIO FRACTURE,,,,S62.521S,"Displaced fracture of distal phalanx of right thumb, sequela"
CIFOESCOLIOSIS PROGRESIVA SINTOMATICA,SYMPTOMATIC PROGRESSIVE KYPHOSCOLIOSIS,,,,D72.820,Lymphocytosis (symptomatic)
CA MAMA IZQUIERDO,CA MAMA LEFT,,,,R97.1,Elevated cancer antigen 125 [CA 125]
SINDROME ERVICOBRAQUIAL,ERVICOBRACHIAL SYNDROME,,,,D68.61,Antiphospholipid syndrome
URETEROLITOASIS DER,DER URETEROLITHASIS,,,,B00.1,Herpesviral vesicular dermatitis
NODULO SENO IZQUIERDO,LEFT SINUS NODULE,,,,M86.412,"Chronic osteomyelitis with draining sinus, left shoulder"
TUMOR MALIGNO DEL OVARIO,Malignant tumor of the ovary,,,,C7A.010,Malignant carcinoid tumor of the duodenum
"TUMOR MALIGNO DE LA VEJIGA URINARIA, PARTE NO ESPECIFICADA","Malignant tumor of the urinal bladder, unspecified part",,,,,
LESION  LIGAMENTO CRUZADO ANTERIOR,ANTERIOR CRUCIATED LIGAMENT INJURY,,,,,
FIMOSIS/ TESTICULOSRETRACTILES,PHIOSIS/RETRACTILE TESTICLES,,,,,
CANCER DE SENO,BREAST CANCER,,,,S20.00XS,"Contusion of breast, unspecified breast, sequela"
TUMOR DE LA  MAMA DERECHA,TUMOR OF THE RIGHT BREAST,,,,,
NEOURETRA,NEOURETRA,,,,,
FRACTURA DE VÉRTEBRA LUMBAR  .,LUMBAR VERTEBRA FRACTURE.,,,,S32.008S,"Other fracture of unspecified lumbar vertebra, sequela"
ESTENOSIS PIELOURETERAL DERECHA,RIGHT PIELOURETERAL STENOSIS,,,,H04.541,Stenosis of right lacrimal canaliculi
ENFERMEDAD HEMORROIDAL,HEMORRHOIDAL DISEASE,,,,K64.4,Residual hemorrhoidal skin tags
